id,owner_id,owner_kind,article_code,condition_type,text,normalized_text,required
condition_article_51_clause_1_point_g,article_51_clause_1_point_g,Point,51,condition,Phạm tội vì hoàn cảnh đặc biệt khó khăn mà không phải do mình tự gây ra;,pham toi vi hoan canh dac biet kho khan ma khong phai do minh tu gay ra,true
condition_article_51_clause_1_point_h,article_51_clause_1_point_h,Point,51,consequence,Phạm tội nhưng chưa gây thiệt hại hoặc gây thiệt hại không lớn;,pham toi nhung chua gay thiet hai hoac gay thiet hai khong lon,true
condition_article_51_clause_1_point_i,article_51_clause_1_point_i,Point,51,condition,Phạm tội lần đầu và thuộc trường hợp ít nghiêm trọng;,pham toi lan dau va thuoc truong hop it nghiem trong,true
condition_article_51_clause_1_point_k,article_51_clause_1_point_k,Point,51,condition,Phạm tội vì bị người khác đe dọa hoặc cưỡng bức;,pham toi vi bi nguoi khac de doa hoac cuong buc,true
condition_article_51_clause_1_point_l,article_51_clause_1_point_l,Point,51,condition,Phạm tội trong trường hợp bị hạn chế khả năng nhận thức mà không phải do lỗi của mình gây ra;,pham toi trong truong hop bi han che kha nang nhan thuc ma khong phai do loi cua minh gay ra,true
condition_article_51_clause_1_point_m,article_51_clause_1_point_m,Point,51,condition,Phạm tội do lạc hậu;,pham toi do lac hau,true
condition_article_51_clause_1_point_n,article_51_clause_1_point_n,Point,51,act_and_subject,Người phạm tội là phụ nữ có thai;,nguoi pham toi la phu nu co thai,true
condition_article_51_clause_1_point_o,article_51_clause_1_point_o,Point,51,subject_age,Người phạm tội là người đủ 70 tuổi trở lên;,nguoi pham toi la nguoi du 70 tuoi tro len,true
condition_article_51_clause_1_point_p,article_51_clause_1_point_p,Point,51,act_and_subject,Người phạm tội là người khuyết tật nặng hoặc khuyết tật đặc biệt nặng;,nguoi pham toi la nguoi khuyet tat nang hoac khuyet tat dac biet nang,true
condition_article_51_clause_1_point_q,article_51_clause_1_point_q,Point,51,act_and_subject,Người phạm tội là người có bệnh bị hạn chế khả năng nhận thức hoặc khả năng điều khiển hành vi của mình;,nguoi pham toi la nguoi co benh bi han che kha nang nhan thuc hoac kha nang dieu khien hanh vi cua minh,true
condition_article_51_clause_1_point_r,article_51_clause_1_point_r,Point,51,act_and_subject,Người phạm tội tự thú;,nguoi pham toi tu thu,true
condition_article_51_clause_1_point_s,article_51_clause_1_point_s,Point,51,act_and_subject,"Người phạm tội thành khẩn khai báo, ăn năn hối cải;",nguoi pham toi thanh khan khai bao an nan hoi cai,true
condition_article_51_clause_1_point_t,article_51_clause_1_point_t,Point,51,act_and_subject,Người phạm tội tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án;,nguoi pham toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an,true
condition_article_51_clause_1_point_u,article_51_clause_1_point_u,Point,51,act_and_subject,Người phạm tội đã lập công chuộc tội;,nguoi pham toi da lap cong chuoc toi,true
condition_article_51_clause_1_point_v,article_51_clause_1_point_v,Point,51,act_and_subject,"Người phạm tội là người có thành tích xuất sắc trong sản xuất, chiến đấu, học tập hoặc công tác;",nguoi pham toi la nguoi co thanh tich xuat sac trong san xuat chien dau hoc tap hoac cong tac,true
condition_article_51_clause_1_point_x,article_51_clause_1_point_x,Point,51,act_and_subject,"Người phạm tội là người có công với cách mạng hoặc là cha, mẹ, vợ, chồng, con của liệt sĩ.",nguoi pham toi la nguoi co cong voi cach mang hoac la cha me vo chong con cua liet si,true
condition_article_52_clause_1,article_52_clause_1,Clause,52,subject_age,"Chỉ các tình tiết sau đây mới là tình tiết tăng nặng trách nhiệm hình sự: a) Phạm tội có tổ chức; b) Phạm tội có tính chất chuyên nghiệp; c) Lợi dụng chức vụ, quyền hạn để phạm tội; d) Phạm tội có tính chất côn đồ; đ) Phạm tội vì động cơ đê hèn; e) Cố tình thực hiện tội phạm đến cùng; g) Phạm tội 02 lần trở lên; h) Tái phạm hoặc tái phạm nguy hiểm; i) Phạm tội đối với người dưới 16 tuổi, phụ nữ có thai hoặc người đủ 70 tuổi trở lên; k) Phạm tội đối với người ở trong tình trạng không thể tự vệ được, người khuyết tật nặng hoặc khuyết tật đặc biệt nặng, người bị hạn chế khả năng nhận thức hoặc người lệ thuộc mình về mặt vật chất, tinh thần, công tác hoặc các mặt khác; l) Lợi dụng hoàn cảnh chiến tranh, tình trạng khẩn cấp, thiên tai, dịch bệnh hoặc những khó khăn đặc biệt khác của xã hội để phạm tội; m) Dùng thủ đoạn tinh vi, xảo quyệt hoặc tàn ác để phạm tội; n) Dùng thủ đoạn hoặc phương tiện có khả năng gây nguy hại cho nhiều người để phạm tội; o) Xúi giục người dưới 18 tuổi phạm tội; p) Có hành động xảo quyệt hoặc hung hãn nhằm trốn tránh hoặc che giấu tội phạm.",chi cac tinh tiet sau day moi la tinh tiet tang nang trach nhiem hinh su a pham toi co to chuc b pham toi co tinh chat chuyen nghiep c loi dung chuc vu quyen han de pham toi d pham toi co tinh chat con do d pham toi vi dong co de hen e co tinh thuc hien toi pham den cung g pham toi 02 lan tro len h tai pham hoac tai pham nguy hiem i pham toi doi voi nguoi duoi 16 tuoi phu nu co thai hoac nguoi du 70 tuoi tro len k pham toi doi voi nguoi o trong tinh trang khong the tu ve duoc nguoi khuyet tat nang hoac khuyet tat dac biet nang nguoi bi han che kha nang nhan thuc hoac nguoi le thuoc minh ve mat vat chat tinh than cong tac hoac cac mat khac l loi dung hoan canh chien tranh tinh trang khan cap thien tai dich benh hoac nhung kho khan dac biet khac cua xa hoi de pham toi m dung thu doan tinh vi xao quyet hoac tan ac de pham toi n dung thu doan hoac phuong tien co kha nang gay nguy hai cho nhieu nguoi de pham toi o xui giuc nguoi duoi 18 tuoi pham toi p co hanh dong xao quyet hoac hung han nham tron tranh hoac che giau toi pham,true
condition_article_52_clause_2,article_52_clause_2,Clause,52,condition,Các tình tiết đã được Bộ luật này quy định là dấu hiệu định tội hoặc định khung hình phạt thì không được coi là tình tiết tăng nặng.,cac tinh tiet da duoc bo luat nay quy dinh la dau hieu dinh toi hoac dinh khung hinh phat thi khong duoc coi la tinh tiet tang nang,true
condition_article_52_clause_1_point_a,article_52_clause_1_point_a,Point,52,aggravating_or_frame_factor,Phạm tội có tổ chức;,pham toi co to chuc,true
condition_article_52_clause_1_point_b,article_52_clause_1_point_b,Point,52,aggravating_or_frame_factor,Phạm tội có tính chất chuyên nghiệp;,pham toi co tinh chat chuyen nghiep,true
condition_article_52_clause_1_point_c,article_52_clause_1_point_c,Point,52,aggravating_or_frame_factor,"Lợi dụng chức vụ, quyền hạn để phạm tội;",loi dung chuc vu quyen han de pham toi,true
condition_article_52_clause_1_point_d,article_52_clause_1_point_d,Point,52,condition,Phạm tội có tính chất côn đồ;,pham toi co tinh chat con do,true
condition_article_52_clause_1_point_d,article_52_clause_1_point_d,Point,52,condition,Phạm tội vì động cơ đê hèn;,pham toi vi dong co de hen,true
condition_article_52_clause_1_point_e,article_52_clause_1_point_e,Point,52,condition,Cố tình thực hiện tội phạm đến cùng;,co tinh thuc hien toi pham den cung,true
condition_article_52_clause_1_point_g,article_52_clause_1_point_g,Point,52,condition,Phạm tội 02 lần trở lên;,pham toi 02 lan tro len,true
condition_article_52_clause_1_point_h,article_52_clause_1_point_h,Point,52,aggravating_or_frame_factor,Tái phạm hoặc tái phạm nguy hiểm;,tai pham hoac tai pham nguy hiem,true
condition_article_52_clause_1_point_i,article_52_clause_1_point_i,Point,52,subject_age,"Phạm tội đối với người dưới 16 tuổi, phụ nữ có thai hoặc người đủ 70 tuổi trở lên;",pham toi doi voi nguoi duoi 16 tuoi phu nu co thai hoac nguoi du 70 tuoi tro len,true
condition_article_52_clause_1_point_k,article_52_clause_1_point_k,Point,52,condition,"Phạm tội đối với người ở trong tình trạng không thể tự vệ được, người khuyết tật nặng hoặc khuyết tật đặc biệt nặng, người bị hạn chế khả năng nhận thức hoặc người lệ thuộc mình về mặt vật chất, tinh thần, công tác hoặc các mặt khác;",pham toi doi voi nguoi o trong tinh trang khong the tu ve duoc nguoi khuyet tat nang hoac khuyet tat dac biet nang nguoi bi han che kha nang nhan thuc hoac nguoi le thuoc minh ve mat vat chat tinh than cong tac hoac cac mat khac,true
condition_article_52_clause_1_point_l,article_52_clause_1_point_l,Point,52,condition,"Lợi dụng hoàn cảnh chiến tranh, tình trạng khẩn cấp, thiên tai, dịch bệnh hoặc những khó khăn đặc biệt khác của xã hội để phạm tội;",loi dung hoan canh chien tranh tinh trang khan cap thien tai dich benh hoac nhung kho khan dac biet khac cua xa hoi de pham toi,true
