id,owner_id,owner_kind,article_code,penalty_type,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty,text
penalty_article_237_clause_5_1,article_237_clause_5,Clause,237,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_237_clause_5_2,article_237_clause_5,Clause,237,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_237_clause_5_3,article_237_clause_5,Clause,237,fine,,,10000000000,20000000000,false,false,phạt tiền từ 10.000.000.000 đồng đến 20.000.000.000 đồng
penalty_article_237_clause_5_4,article_237_clause_5,Clause,237,fine,,,200000000,1000000000,false,false,phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng
penalty_article_237_clause_5_point_a_1,article_237_clause_5_point_a,Point,237,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_237_clause_5_point_b_1,article_237_clause_5_point_b,Point,237,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_237_clause_5_point_c_1,article_237_clause_5_point_c,Point,237,fine,,,10000000000,20000000000,false,false,phạt tiền từ 10.000.000.000 đồng đến 20.000.000.000 đồng
penalty_article_237_clause_5_point_d_1,article_237_clause_5_point_d,Point,237,fine,,,200000000,1000000000,false,false,phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng
penalty_article_238_clause_1_1,article_238_clause_1,Clause,238,imprisonment,3,24,,,false,false,phạt tù từ 03 tháng đến 02 năm
penalty_article_238_clause_1_2,article_238_clause_1,Clause,238,fine,,,100000000,600000000,false,false,phạt tiền từ 100.000.000 đồng đến 600.000.000 đồng
penalty_article_238_clause_2_1,article_238_clause_2,Clause,238,imprisonment,24,84,,,false,false,phạt tù từ 02 năm đến 07 năm
penalty_article_238_clause_2_2,article_238_clause_2,Clause,238,fine,,,600000000,4000000000,false,false,phạt tiền từ 600.000.000 đồng đến 4.000.000.000 đồng
penalty_article_238_clause_3_1,article_238_clause_3,Clause,238,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_238_clause_4_1,article_238_clause_4,Clause,238,fine,,,20000000,100000000,false,false,phạt tiền từ 20.000.000 đồng đến 100.000.000 đồng
penalty_article_238_clause_5_1,article_238_clause_5,Clause,238,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_238_clause_5_2,article_238_clause_5,Clause,238,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_238_clause_5_3,article_238_clause_5,Clause,238,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_238_clause_5_4,article_238_clause_5,Clause,238,fine,,,200000000,1000000000,false,false,phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng
penalty_article_238_clause_5_point_a_1,article_238_clause_5_point_a,Point,238,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_238_clause_5_point_b_1,article_238_clause_5_point_b,Point,238,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_238_clause_5_point_c_1,article_238_clause_5_point_c,Point,238,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_238_clause_5_point_d_1,article_238_clause_5_point_d,Point,238,fine,,,200000000,1000000000,false,false,phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng
penalty_article_239_clause_1_1,article_239_clause_1,Clause,239,imprisonment,6,36,,,false,false,phạt tù từ 06 tháng đến 03 năm
penalty_article_239_clause_1_2,article_239_clause_1,Clause,239,fine,,,400000000,2000000000,false,false,phạt tiền từ 400.000.000 đồng đến 2.000.000.000 đồng
penalty_article_239_clause_2_1,article_239_clause_2,Clause,239,imprisonment,24,84,,,false,false,phạt tù từ 02 năm đến 07 năm
penalty_article_239_clause_2_2,article_239_clause_2,Clause,239,fine,,,2000000000,4000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 4.000.000.000 đồng
penalty_article_239_clause_3_1,article_239_clause_3,Clause,239,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_239_clause_3_2,article_239_clause_3,Clause,239,fine,,,4000000000,10000000000,false,false,phạt tiền từ 4.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_239_clause_4_1,article_239_clause_4,Clause,239,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_239_clause_5_1,article_239_clause_5,Clause,239,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_239_clause_5_2,article_239_clause_5,Clause,239,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_239_clause_5_3,article_239_clause_5,Clause,239,fine,,,200000000,1000000000,false,false,phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng
penalty_article_239_clause_5_point_a_1,article_239_clause_5_point_a,Point,239,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_239_clause_5_point_b_1,article_239_clause_5_point_b,Point,239,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_239_clause_5_point_d_1,article_239_clause_5_point_d,Point,239,fine,,,200000000,1000000000,false,false,phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng
penalty_article_240_clause_1_1,article_240_clause_1,Clause,240,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_240_clause_1_2,article_240_clause_1,Clause,240,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_240_clause_2_1,article_240_clause_2,Clause,240,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_240_clause_3_1,article_240_clause_3,Clause,240,imprisonment,120,144,,,false,false,phạt tù từ 10 năm đến 12 năm
penalty_article_240_clause_4_1,article_240_clause_4,Clause,240,fine,,,40000000,200000000,false,false,phạt tiền từ 40.000.000 đồng đến 200.000.000 đồng
penalty_article_241_clause_1_1,article_241_clause_1,Clause,241,imprisonment,6,24,,,false,false,phạt tù từ 06 tháng đến 02 năm
penalty_article_241_clause_1_2,article_241_clause_1,Clause,241,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_241_clause_2_1,article_241_clause_2,Clause,241,imprisonment,24,60,,,false,false,phạt tù từ 02 năm đến 05 năm
penalty_article_241_clause_3_1,article_241_clause_3,Clause,241,imprisonment,36,84,,,false,false,phạt tù từ 03 năm đến 07 năm
penalty_article_241_clause_4_1,article_241_clause_4,Clause,241,fine,,,40000000,200000000,false,false,phạt tiền từ 40.000.000 đồng đến 200.000.000 đồng
penalty_article_242_clause_1_1,article_242_clause_1,Clause,242,imprisonment,6,36,,,false,false,phạt tù từ 06 tháng đến 03 năm
penalty_article_242_clause_1_2,article_242_clause_1,Clause,242,fine,,,100000000,600000000,false,false,phạt tiền từ 100.000.000 đồng đến 600.000.000 đồng
penalty_article_242_clause_2_1,article_242_clause_2,Clause,242,imprisonment,36,60,,,false,false,phạt tù từ 03 năm đến 05 năm
penalty_article_242_clause_2_2,article_242_clause_2,Clause,242,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_242_clause_3_1,article_242_clause_3,Clause,242,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_242_clause_4_1,article_242_clause_4,Clause,242,fine,,,40000000,200000000,false,false,phạt tiền từ 40.000.000 đồng đến 200.000.000 đồng
penalty_article_242_clause_5_1,article_242_clause_5,Clause,242,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_242_clause_5_2,article_242_clause_5,Clause,242,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_242_clause_5_3,article_242_clause_5,Clause,242,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
