id,penalty_frame_id,role,penalty_type,text,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty
penalty_penalty_article_66_clause_2_point_b_1_main,penalty_article_66_clause_2_point_b_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_70_clause_2_1_additional,penalty_article_70_clause_2_1,additional,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_70_clause_2_2_additional,penalty_article_70_clause_2_2,additional,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_70_clause_2_point_d_1_additional,penalty_article_70_clause_2_point_d_1,additional,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_70_clause_2_point_d_2_additional,penalty_article_70_clause_2_point_d_2,additional,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_71_clause_2_1_additional,penalty_article_71_clause_2_1,additional,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_71_clause_2_2_additional,penalty_article_71_clause_2_2,additional,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_71_clause_2_point_d_1_additional,penalty_article_71_clause_2_point_d_1,additional,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_71_clause_2_point_d_2_additional,penalty_article_71_clause_2_point_d_2,additional,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_91_clause_5_1_main,penalty_article_91_clause_5_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_91_clause_5_2_main,penalty_article_91_clause_5_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_101_clause_1_1_main,penalty_article_101_clause_1_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_101_clause_1_2_main,penalty_article_101_clause_1_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_101_clause_2_1_main,penalty_article_101_clause_2_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_101_clause_2_2_main,penalty_article_101_clause_2_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_108_clause_1_1_main,penalty_article_108_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,true
penalty_penalty_article_108_clause_2_1_main,penalty_article_108_clause_2_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_108_clause_3_1_main,penalty_article_108_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_109_clause_1_1_main,penalty_article_109_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_109_clause_2_1_main,penalty_article_109_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 12 năm,60,144,,,false,false
penalty_penalty_article_109_clause_3_1_main,penalty_article_109_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_110_clause_1_1_main,penalty_article_110_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_110_clause_2_1_main,penalty_article_110_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 15 năm,60,180,,,false,false
penalty_penalty_article_110_clause_3_1_main,penalty_article_110_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_111_clause_1_1_main,penalty_article_111_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_111_clause_2_1_main,penalty_article_111_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 15 năm,60,180,,,false,false
penalty_penalty_article_111_clause_3_1_main,penalty_article_111_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_112_clause_1_1_main,penalty_article_112_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,true
penalty_penalty_article_112_clause_2_1_main,penalty_article_112_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 15 năm,60,180,,,false,false
penalty_penalty_article_112_clause_3_1_main,penalty_article_112_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_113_clause_1_1_main,penalty_article_113_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,true
penalty_penalty_article_113_clause_2_1_main,penalty_article_113_clause_2_1,main,imprisonment,phạt tù từ 10 năm đến 15 năm,120,180,,,false,false
penalty_penalty_article_113_clause_3_1_main,penalty_article_113_clause_3_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_113_clause_5_1_main,penalty_article_113_clause_5_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_114_clause_1_1_main,penalty_article_114_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_114_clause_2_1_main,penalty_article_114_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 15 năm,60,180,,,false,false
penalty_penalty_article_114_clause_3_1_main,penalty_article_114_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_115_clause_1_1_main,penalty_article_115_clause_1_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_115_clause_2_1_main,penalty_article_115_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_115_clause_3_1_main,penalty_article_115_clause_3_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_116_clause_1_1_main,penalty_article_116_clause_1_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_116_clause_2_1_main,penalty_article_116_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_116_clause_3_1_main,penalty_article_116_clause_3_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_117_clause_1_1_main,penalty_article_117_clause_1_1,main,imprisonment,phạt tù từ 05 năm đến 12 năm,60,144,,,false,false
penalty_penalty_article_117_clause_2_1_main,penalty_article_117_clause_2_1,main,imprisonment,phạt tù từ 10 năm đến 20 năm,120,240,,,false,false
