id,crime_id,article_id,article_code,requirement_type,text,normalized_text
consreq_crime_151_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_151,article_151,151,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%, nếu không thuộc trường hợp quy định tại điểm d khoản 3 Điều này",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60 neu khong thuoc truong hop quy dinh tai diem d khoan 3 dieu nay
consreq_crime_151_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_151,article_151,151,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_151_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_151,article_151,151,consequence,"tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%, nếu không thuộc trường hợp quy định tại điểm d khoản 3 Điều này",ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60 neu khong thuoc truong hop quy dinh tai diem d khoan 3 dieu nay
consreq_crime_151_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_151,article_151,151,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_153_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_153,article_153,153,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60
consreq_crime_153_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_153,article_153,153,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_153_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_153,article_153,153,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60
consreq_crime_153_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_153,article_153,153,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_154_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nguoi_khac_voi_ty_le_ton_thuong_co_the_tu_31_den,crime_154,article_154,154,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của người khác với tỷ lệ tổn thương cơ thể từ 31% đến 60%,gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac voi ty le ton thuong co the tu 31 den 60
consreq_crime_154_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nguoi_khac_voi_ty_le_ton_thuong_co_the_61_tro_le,crime_154,article_154,154,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của người khác với tỷ lệ tổn thương cơ thể 61% trở lên,gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac voi ty le ton thuong co the 61 tro len
consreq_crime_154_consequence_ton_hai_cho_suc_khoe_cua_nguoi_khac_voi_ty_le_ton_thuong_co_the_tu_31_den_60,crime_154,article_154,154,consequence,tổn hại cho sức khỏe của người khác với tỷ lệ tổn thương cơ thể từ 31% đến 60%,ton hai cho suc khoe cua nguoi khac voi ty le ton thuong co the tu 31 den 60
consreq_crime_154_consequence_ton_hai_cho_suc_khoe_cua_nguoi_khac_voi_ty_le_ton_thuong_co_the_61_tro_len,crime_154,article_154,154,consequence,tổn hại cho sức khỏe của người khác với tỷ lệ tổn thương cơ thể 61% trở lên,ton hai cho suc khoe cua nguoi khac voi ty le ton thuong co the 61 tro len
consreq_crime_156_consequence_gay_thiet_hai_den_quyen_loi_ich_hop_phap_cua_nguoi_khac,crime_156,article_156,156,consequence,"gây thiệt hại đến quyền, lợi ích hợp pháp của người khác",gay thiet hai den quyen loi ich hop phap cua nguoi khac
