id,crime_id,article_id,article_code,owner_id,owner_kind,text,min_value,max_value,unit,normalized_text
threshold_condition_article_227_clause_4_point_a_tu_61_den_121,crime_227,article_227,227,condition_article_227_clause_4_point_a,Condition,từ 61% đến 121%,61,121,percent,tu 61 den 121
threshold_condition_article_227_clause_4_point_c_000_000_dong_den_500_000,crime_227,article_227,227,condition_article_227_clause_4_point_c,Condition,000.000 đồng đến 500.000,000.000,500.000,vnd,000 000 dong den 500 000
threshold_condition_article_227_clause_4_point_c_000_dong,crime_227,article_227,227,condition_article_227_clause_4_point_c,Condition,000 đồng,000,,vnd,000 dong
threshold_article_227_clause_1_000_000_dong_den_1_500,crime_227,article_227,227,article_227_clause_1,Clause,000.000 đồng đến 1.500,000.000,1.500,vnd,000 000 dong den 1 500
threshold_article_227_clause_1_000_000_dong,crime_227,article_227,227,article_227_clause_1,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_1_000_000_dong_den,crime_227,article_227,227,article_227_clause_1,Clause,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_227_clause_1_61_tro_len,crime_227,article_227,227,article_227_clause_1,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_227_clause_1_tu_61_den_121,crime_227,article_227,227,article_227_clause_1,Clause,từ 61% đến 121%,61,121,percent,tu 61 den 121
threshold_article_227_clause_2_000_000_dong_den_5_000,crime_227,article_227,227,article_227_clause_2,Clause,000.000 đồng đến 5.000,000.000,5.000,vnd,000 000 dong den 5 000
threshold_article_227_clause_2_000_000_dong,crime_227,article_227,227,article_227_clause_2,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_2_000_000_dong_tro_len,crime_227,article_227,227,article_227_clause_2,Clause,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_article_227_clause_2_122_tro_len,crime_227,article_227,227,article_227_clause_2,Clause,122% trở lên,122,,percent,122 tro len
threshold_article_227_clause_3_000_000_dong_den_500_000,crime_227,article_227,227,article_227_clause_3,Clause,000.000 đồng đến 500.000,000.000,500.000,vnd,000 000 dong den 500 000
threshold_article_227_clause_3_000_dong,crime_227,article_227,227,article_227_clause_3,Clause,000 đồng,000,,vnd,000 dong
threshold_article_227_clause_4_000_000_dong_den,crime_227,article_227,227,article_227_clause_4,Clause,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_227_clause_4_000_000_dong,crime_227,article_227,227,article_227_clause_4,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_4_000_000_dong_den_3_000,crime_227,article_227,227,article_227_clause_4,Clause,000.000 đồng đến 3.000,000.000,3.000,vnd,000 000 dong den 3 000
threshold_article_227_clause_4_000_000_dong_den_7_000,crime_227,article_227,227,article_227_clause_4,Clause,000.000 đồng đến 7.000,000.000,7.000,vnd,000 000 dong den 7 000
threshold_article_227_clause_4_000_000_dong_den_500_000,crime_227,article_227,227,article_227_clause_4,Clause,000.000 đồng đến 500.000,000.000,500.000,vnd,000 000 dong den 500 000
threshold_article_227_clause_4_000_dong,crime_227,article_227,227,article_227_clause_4,Clause,000 đồng,000,,vnd,000 dong
threshold_article_227_clause_4_61_tro_len,crime_227,article_227,227,article_227_clause_4,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_227_clause_4_tu_61_den_121,crime_227,article_227,227,article_227_clause_4,Clause,từ 61% đến 121%,61,121,percent,tu 61 den 121
threshold_article_227_clause_1_point_a_000_000_dong_den,crime_227,article_227,227,article_227_clause_1_point_a,Point,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_227_clause_1_point_a_000_000_dong,crime_227,article_227,227,article_227_clause_1_point_a,Point,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_1_point_b_000_000_dong_den,crime_227,article_227,227,article_227_clause_1_point_b,Point,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_227_clause_1_point_b_000_000_dong,crime_227,article_227,227,article_227_clause_1_point_b,Point,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_1_point_c_61_tro_len,crime_227,article_227,227,article_227_clause_1_point_c,Point,61% trở lên,61,,percent,61 tro len
threshold_article_227_clause_1_point_d_tu_61_den_121,crime_227,article_227,227,article_227_clause_1_point_d,Point,từ 61% đến 121%,61,121,percent,tu 61 den 121
threshold_article_227_clause_2_point_a_000_000_dong_tro_len,crime_227,article_227,227,article_227_clause_2_point_a,Point,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_article_227_clause_2_point_b_000_000_dong_tro_len,crime_227,article_227,227,article_227_clause_2_point_b,Point,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_article_227_clause_2_point_e_122_tro_len,crime_227,article_227,227,article_227_clause_2_point_e,Point,122% trở lên,122,,percent,122 tro len
threshold_article_227_clause_4_point_a_000_000_dong_den,crime_227,article_227,227,article_227_clause_4_point_a,Point,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_227_clause_4_point_a_000_000_dong,crime_227,article_227,227,article_227_clause_4_point_a,Point,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_4_point_a_000_000_dong_den_3_000,crime_227,article_227,227,article_227_clause_4_point_a,Point,000.000 đồng đến 3.000,000.000,3.000,vnd,000 000 dong den 3 000
threshold_article_227_clause_4_point_a_61_tro_len,crime_227,article_227,227,article_227_clause_4_point_a,Point,61% trở lên,61,,percent,61 tro len
threshold_article_227_clause_4_point_a_tu_61_den_121,crime_227,article_227,227,article_227_clause_4_point_a,Point,từ 61% đến 121%,61,121,percent,tu 61 den 121
threshold_article_227_clause_4_point_b_000_000_dong_den_7_000,crime_227,article_227,227,article_227_clause_4_point_b,Point,000.000 đồng đến 7.000,000.000,7.000,vnd,000 000 dong den 7 000
threshold_article_227_clause_4_point_b_000_000_dong,crime_227,article_227,227,article_227_clause_4_point_b,Point,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_227_clause_4_point_c_000_000_dong_den_500_000,crime_227,article_227,227,article_227_clause_4_point_c,Point,000.000 đồng đến 500.000,000.000,500.000,vnd,000 000 dong den 500 000
threshold_article_227_clause_4_point_c_000_dong,crime_227,article_227,227,article_227_clause_4_point_c,Point,000 đồng,000,,vnd,000 dong
threshold_condition_article_228_clause_3_000_000_dong_den_50_000,crime_228,article_228,228,condition_article_228_clause_3,Condition,000.000 đồng đến 50.000,000.000,50.000,vnd,000 000 dong den 50 000
threshold_condition_article_228_clause_3_000_dong,crime_228,article_228,228,condition_article_228_clause_3,Condition,000 đồng,000,,vnd,000 dong
threshold_article_228_clause_1_000_000_dong_den_500_000,crime_228,article_228,228,article_228_clause_1,Clause,000.000 đồng đến 500.000,000.000,500.000,vnd,000 000 dong den 500 000
threshold_article_228_clause_1_000_dong,crime_228,article_228,228,article_228_clause_1,Clause,000 đồng,000,,vnd,000 dong
threshold_article_228_clause_2_000_000_dong_den_2_000,crime_228,article_228,228,article_228_clause_2,Clause,000.000 đồng đến 2.000,000.000,2.000,vnd,000 000 dong den 2 000
threshold_article_228_clause_2_000_000_dong,crime_228,article_228,228,article_228_clause_2,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_228_clause_3_000_000_dong_den_50_000,crime_228,article_228,228,article_228_clause_3,Clause,000.000 đồng đến 50.000,000.000,50.000,vnd,000 000 dong den 50 000
threshold_article_228_clause_3_000_dong,crime_228,article_228,228,article_228_clause_3,Clause,000 đồng,000,,vnd,000 dong
